volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2693.31,1.08824,0.15,6e-07,0.001842
1.5,4258.42,1.17727,0.15,6e-07,0.001842
2.0,5823.39,1.26667,0.15,6e-07,0.001842
2.5,7389.33,1.35367,0.15,6e-07,0.001842
3.0,8953.89,1.44407,0.15,6e-07,0.001842
3.5,10518.9,1.53347,0.15,6e-07,0.001842
4.0,12084.1,1.62213,0.15,6e-07,0.001842
4.5,13649.6,1.7102,0.15,6e-07,0.001842
5.0,15214.3,1.80034,0.15,6e-07,0.001842
5.5,16780.1,1.88773,0.15,6e-07,0.001842
6.0,18345.0,1.9772,0.15,6e-07,0.001842
6.5,19910.0,2.0664,0.15,6e-07,0.001842
7.0,21475.1,2.15547,0.15,6e-07,0.001842
7.5,23040.3,2.24433,0.15,6e-07,0.001842
