volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2464.64,1.54385,0.151561,6e-07,0.00133114
1.5,4014.06,1.66415,0.151561,6e-07,0.00133114
2.0,5563.46,1.7845,0.151561,6e-07,0.00133114
2.5,7113.11,1.90432,0.151561,6e-07,0.00133114
3.0,8662.71,2.0242,0.151561,6e-07,0.00133114
3.5,10212.1,2.14455,0.151561,6e-07,0.00133114
4.0,11761.7,2.26443,0.151561,6e-07,0.00133114
4.5,13311.0,2.38498,0.151561,6e-07,0.00133114
5.0,14860.5,2.50533,0.151561,6e-07,0.00133114
5.5,16410.0,2.62535,0.151561,6e-07,0.00133114
6.0,17959.6,2.74523,0.151561,6e-07,0.00133114
6.5,19508.8,2.86604,0.151561,6e-07,0.00133114
7.0,21058.6,2.98566,0.151561,6e-07,0.00133114
7.5,22607.9,3.10621,0.151561,6e-07,0.00133114
