Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
18700,0,0,0,4.37,0,0,8.41,0
18800,0,0,0,4.37,0,0,8.41,0.18
18900,0,0,0,4.37,0,0,8.41,0.18
19000,0,0,0,4.37,0,0,8.41,0.18
19100,0,0,0,4.37,0,0,8.41,0.18
19200,0,0,0,4.37,0,0,8.41,0.18
19300,0,0,0,4.37,0,0,8.41,0.18
19400,0,0,0,4.37,0,0,8.41,0.18
19500,0,0,0,4.37,0,0,8.41,0.18
19600,0,0,0,4.37,0,0,8.41,0.18
19700,0,0,0,4.37,0,0,8.41,0.18
19800,0,0,0,4.37,0,0,8.41,0.18
19900,0,0,0,4.37,0,0,8.41,0.18
20000,0,0,0,4.37,0,0,8.41,0.18
20100,0,0,0,4.37,0,0,8.41,0.18
20200,0,0,0,4.37,0,0,8.41,0.18
20300,0,0,0,4.37,0,0,8.41,0.18
20400,0,0,0,4.37,0,0,8.41,0.18
20500,0,0,0,4.37,0,0,8.41,0.18
20600,0,0,0,4.37,0,0,8.41,0.18
20700,0,0,0,4.37,0,0,8.41,0.18
20800,0,0,0,4.37,0,0,8.41,0.18
20900,0,0,0,4.37,0,0,8.41,0.18
21000,0,0,0,4.37,0,0,8.41,0.18
21100,0,0,0,4.37,0,0,8.41,0.18
21200,0,0,0,4.37,0,0,8.41,0.18
21300,0,0,0,4.37,0,0,8.41,0.18
21400,0,0,0,4.37,0,0,8.41,0.18
21500,0,0,0,4.37,0,0,8.41,0.18
21600,0,0,0,4.37,0,0,8.41,0.18
21700,0,0,0,4.37,0,0,8.41,0.18
21800,0,0,0,4.37,0,0,8.41,0.18
21900,0,0,0,4.37,0,0,8.41,0.18
22000,0,0,0,4.37,0,0,8.41,0.18
22100,0,0,0,4.37,0,0,8.41,0.18
22200,0,0,0,4.37,0,0,8.41,0.24
22300,0,0,0,4.37,0,0,8.41,0.18
22400,0,0,0,4.37,0,0,8.41,0.18
22500,0,0,0,4.37,0,0,8.41,0.18
22600,0,0,0,4.37,0,0,8.41,0.18
22700,0,0,0,4.37,0,0,8.41,0.18
22800,0,0,0,4.37,0,0,8.41,0.18
22900,0,0,0,4.37,0,0,8.41,0.18
23000,0,0,0,4.37,0,0,8.41,0.18
23100,0,0,0,4.37,0,0,8.41,0.18
23200,0,0,0,4.37,0,0,8.41,0.18
23300,0,0,0,4.37,0,0,8.41,0.18
23400,0,0,0,4.37,0,0,8.41,0.18
23500,0,0,0,4.37,0,0,8.41,0.18
23600,0,0,0,4.37,0,0,8.41,0.18
23700,0,0,0,4.37,0,0,8.41,0.18
23800,0,0,0,4.37,0,0,8.41,0.18
23900,0,0,0,4.37,0,0,8.41,0.18
24000,0,0,0,4.37,0,0,8.41,0.18
24100,0,0,0,4.37,0,0,8.41,0.18
24200,0,0,0,4.37,0,0,8.41,0.18
24300,0,0,0,4.37,0,0,8.41,0.18
24400,0,0,0,4.37,0,0,8.41,0.18
24500,0,0,0,4.37,0,0,8.41,0.18
24600,0,0,0,4.37,0,0,8.41,0.18
24700,0,0,0,4.37,0,0,8.41,0.18
24800,0,0,0,4.37,0,0,8.41,0.18
24900,0,0,0,4.37,0,0,8.41,0.18
25000,0,0,0,4.37,0,0,8.41,0.18
25100,0,0,0,4.37,0,0,8.41,0.18
25200,0,0,0,4.37,0,0,8.41,0.18
25300,0,0,0,4.37,0,0,8.41,0.18
25400,0,0,0,4.37,0,0,8.41,0.18
25500,0,0,0,4.37,0,0,8.41,0.18
25600,0,0,0,4.37,0,0,8.41,0.18
25700,0,0,0,4.37,0,0,8.41,0.12
25800,0,0,0,4.37,0,0,8.41,0.18
25900,0,0,0,4.37,0,0,8.41,0.18
26000,0,0,0,4.37,0,0,8.41,0.18
26100,0,0,0,4.37,0,0,8.41,0.18
26200,0,0,0,4.37,0,0,8.41,0.18
26300,0,0,0,4.37,0,0,8.41,0.18
26400,0,0,0,4.37,0,0,8.41,0.18
26500,0,0,0,4.37,0,0,8.41,0.18
26600,0,0,0,4.37,0,0,8.41,0.18
26700,0,0,0,4.37,0,0,8.41,0.18
26800,0,0,0,4.37,0,0,8.41,0.18
26900,0,0,0,4.37,0,0,8.41,0.18
27000,0,0,0,4.37,0,0,8.41,0.18
27100,0,0,0,4.37,0,0,8.41,0.18
27200,0,0,0,4.37,0,0,8.41,0.18
27300,0,0,0,4.37,0,0,8.41,0.18
27400,0,0,0,4.37,0,0,8.41,0.18
