Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
18700,0,0,0,4.37,0,0,8.41,0.000000
18800,0,0,0,4.37,0,0,8.41,0.180000
18900,0,0,0,4.37,0,0,8.41,0.180000
19000,0,0,0,4.37,0,0,8.41,0.180000
19100,0,0,0,4.37,0,0,8.41,0.180000
19200,0,0,0,4.37,0,0,8.41,0.180000
19300,0,0,0,4.37,0,0,8.41,0.180000
19400,0,0,0,4.37,0,0,8.41,0.180000
19500,0,0,0,4.37,0,0,8.41,0.180000
19600,0,0,0,4.37,0,0,8.41,0.180000
19700,0,0,0,4.37,0,0,8.41,0.180000
19800,0,0,0,4.37,0,0,8.41,0.180000
19900,0,0,0,4.37,0,0,8.41,0.180000
20000,0,0,0,4.37,0,0,8.41,0.180000
20100,0,0,0,4.37,0,0,8.41,0.180000
20200,0,0,0,4.37,0,0,8.41,0.180000
20300,0,0,0,4.37,0,0,8.41,0.180000
20400,0,0,0,4.37,0,0,8.41,0.180000
20500,0,0,0,4.37,0,0,8.41,0.180000
20600,0,0,0,4.37,0,0,8.41,0.180000
20700,0,0,0,4.37,0,0,8.41,0.180000
20800,0,0,0,4.37,0,0,8.41,0.180000
20900,0,0,0,4.37,0,0,8.41,0.180000
21000,0,0,0,4.37,0,0,8.41,0.180000
21100,0,0,0,4.37,0,0,8.41,0.180000
21200,0,0,0,4.37,0,0,8.41,0.180000
21300,0,0,0,4.37,0,0,8.41,0.180000
21400,0,0,0,4.37,0,0,8.41,0.180000
21500,0,0,0,4.37,0,0,8.41,0.180000
21600,0,0,0,4.37,0,0,8.41,0.180000
21700,0,0,0,4.37,0,0,8.41,0.180000
21800,0,0,0,4.37,0,0,8.41,0.180000
21900,0,0,0,4.37,0,0,8.41,0.180000
22000,0,0,0,4.37,0,0,8.41,0.180000
22100,0,0,0,4.37,0,0,8.41,0.180000
22200,0,0,0,4.37,0,0,8.41,0.240000
22300,0,0,0,4.37,0,0,8.41,0.180000
22400,0,0,0,4.37,0,0,8.41,0.180000
22500,0,0,0,4.37,0,0,8.41,0.180000
22600,0,0,0,4.37,0,0,8.41,0.180000
22700,0,0,0,4.37,0,0,8.41,0.180000
22800,0,0,0,4.37,0,0,8.41,0.180000
22900,0,0,0,4.37,0,0,8.41,0.180000
23000,0,0,0,4.37,0,0,8.41,0.180000
23100,0,0,0,4.37,0,0,8.41,0.180000
23200,0,0,0,4.37,0,0,8.41,0.180000
23300,0,0,0,4.37,0,0,8.41,0.180000
23400,0,0,0,4.37,0,0,8.41,0.180000
23500,0,0,0,4.37,0,0,8.41,0.180000
23600,0,0,0,4.37,0,0,8.41,0.180000
23700,0,0,0,4.37,0,0,8.41,0.180000
23800,0,0,0,4.37,0,0,8.41,0.180000
23900,0,0,0,4.37,0,0,8.41,0.180000
24000,0,0,0,4.37,0,0,8.41,0.180000
24100,0,0,0,4.37,0,0,8.41,0.180000
24200,0,0,0,4.37,0,0,8.41,0.180000
24300,0,0,0,4.37,0,0,8.41,0.180000
24400,0,0,0,4.37,0,0,8.41,0.180000
24500,0,0,0,4.37,0,0,8.41,0.180000
24600,0,0,0,4.37,0,0,8.41,0.180000
24700,0,0,0,4.37,0,0,8.41,0.180000
24800,0,0,0,4.37,0,0,8.41,0.180000
24900,0,0,0,4.37,0,0,8.41,0.180000
25000,0,0,0,4.37,0,0,8.41,0.180000
25100,0,0,0,4.37,0,0,8.41,0.180000
25200,0,0,0,4.37,0,0,8.41,0.180000
25300,0,0,0,4.37,0,0,8.41,0.180000
25400,0,0,0,4.37,0,0,8.41,0.180000
25500,0,0,0,4.37,0,0,8.41,0.180000
25600,0,0,0,4.37,0,0,8.41,0.180000
25700,0,0,0,4.37,0,0,8.41,0.120000
25800,0,0,0,4.37,0,0,8.41,0.180000
25900,0,0,0,4.37,0,0,8.41,0.180000
26000,0,0,0,4.37,0,0,8.41,0.180000
26100,0,0,0,4.37,0,0,8.41,0.180000
26200,0,0,0,4.37,0,0,8.41,0.180000
26300,0,0,0,4.37,0,0,8.41,0.180000
26400,0,0,0,4.37,0,0,8.41,0.180000
26500,0,0,0,4.37,0,0,8.41,0.180000
26600,0,0,0,4.37,0,0,8.41,0.180000
26700,0,0,0,4.37,0,0,8.41,0.180000
26800,0,0,0,4.37,0,0,8.41,0.180000
26900,0,0,0,4.37,0,0,8.41,0.180000
